6186,历史,吉林市第一中学,曲刚,中华文明的发展与曲折——魏晋南北朝,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/ffa7ded65285890798174092508/iLIph7DoD34A.mp4
6187,历史,吉林市第一中学,曲刚,中华文明的成熟与繁荣——隋唐,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/98902e5d5285890798193607854/lWZMb6IpLDQA.mp4
6188,数学,吉林市第一中学,吴雯雯,滚动练习一 讲评（习题课）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/03ae2ac95285890798174200180/QfUsLP9PISoA.mp4
6189,历史,吉林市第一中学,王佳艺,宋元时期 第一课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/93e1e92e5285890798193400191/UujxSiZXUz8A.mp4
6190,历史,吉林市第一中学,王佳艺,宋元时期 第二课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/0d5ef8b65285890798174653406/5Y9zvkExO9QA.mp4
6191,历史,吉林市第一中学,王佳艺,明朝、清朝前期 第一课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/0da6df5e5285890798174692807/trt1OKnlZQEA.mp4
6192,英语,吉林市第一中学,赵洪宇,语法复习 数词,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/0feaeadc5285890798174784137/kCvkk98NJZ8A.mp4
6193,历史,吉林市第一中学,曲刚,中国古代史总结（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/30c047c95285890798195587974/KxLhYuW3ip8A.mp4
6194,化学,吉林市第一中学,邵志鹏,化学实验基础（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/17c085255285890798198596814/Gq6cuuCvjmsA.mp4
6196,语文,吉林市第一中学,李薇,诗歌按题材分类鉴赏（第一课时）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/989e6b745285890798193610716/Fem9ffNF33cA.mp4
6197,语文,吉林市第一中学,李薇,诗歌按题材分类鉴赏（第二课时）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/30c157ca5285890798195589757/Grvlep7PXJQA.mp4
6198,英语,吉林市第一中学,刘尚元,状语从句的使用1,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/376653285285890798195839676/YAobmwIr2oYA.mp4
6199,英语,吉林市第一中学,刘尚元,状语从句的使用2,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/da7e28725285890798200759801/2C5qnB0JfF8A.mp4
6200,语文,吉林市第一中学,李花,散文阅读方法指导（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/3774003d5285890798195841483/vO412pFGZuwA.mp4
6201,语文,吉林市第一中学,李花,散文阅读方法指导（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/c38dcc1c5285890798197261970/Xxx4oPjTsQEA.mp4
6202,语文,吉林市第一中学,王震平,图文（表文）转换——流程图,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/3775217f5285890798195843681/9YhvR5QBWnwA.mp4
6203,语文,吉林市第一中学,王震平,图文（表文）转换——徽标,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/d89610305285890798343107561/hl81h9atuz0A.mp4
6204,语文,吉林市第一中学,唐淑静,文字综合1-正确使用成语,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/39cb67015285890798195945770/kuviBl5WOk4A.mp4
6205,语文,吉林市第一中学,唐淑静,文字综合2-语言表达连贯,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/cac406235285890798197592439/nwsNafdYtlwA.mp4
6206,物理,吉林市第一中学,刘杰,力学中的曲线运动---平抛,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/1993af745285890798198620611/yWFaJGe4BS0A.mp4
